,Date,Mid,Volume
59,2000-01-14,1450.04,5169700000.0
223,2000-01-21,1452.125,4455000000.0
220,2000-01-28,1405.145,5532100000.0
354,2000-02-04,1393.025,5205000000.0
76,2000-02-11,1411.72,5100800000.0
80,2000-02-18,1376.5199499999999,5115300000.0
499,2000-02-25,1349.63,4253900000.0
545,2000-03-03,1367.97495,5853800000.0
823,2000-03-10,1380.04,5807900000.0
824,2000-03-17,1417.1599999999999,6190300000.0
878,2000-03-24,1499.4650499999998,5192200000.0
402,2000-03-31,1504.63,5342800000.0
345,2000-04-07,1471.43,5547060000.0
578,2000-04-14,1433.29495,5312700000.0
959,2000-04-20,1397.0949500000002,4211700000.0
482,2000-04-28,1445.0349500000002,5035000000.0
628,2000-05-05,1439.935,4700700000.0
400,2000-05-12,1403.8850000000002,4502400000.0
116,2000-05-19,1436.0700000000002,4292200000.0
273,2000-05-26,1386.37,4598300000.0
256,2000-06-02,1430.625,3927200000.0
893,2000-06-09,1466.01,4283600000.0
941,2000-06-16,1463.0,4901900000.0
884,2000-06-23,1463.6201,4833100000.0
510,2000-06-30,1451.13,5597200000.0
802,2000-07-07,1461.8400499999998,3350200000.0
723,2000-07-14,1490.2350000000001,4807800000.0
88,2000-07-21,1497.6149500000001,4756600000.0
85,2000-07-28,1449.8850000000002,5221900000.0
112,2000-08-04,1440.82005,4937400000.0
808,2000-08-11,1471.6950499999998,4677300000.0
811,2000-08-18,1484.01505,4353300000.0
529,2000-08-25,1501.495,3944100000.0
781,2000-09-01,1515.09,4171900000.0
853,2000-09-08,1505.325,3780100000.0
2,2000-09-15,1483.49,5241200000.0
259,2000-09-22,1444.825,5382300000.0
543,2000-09-29,1440.5649,5667000000.0
686,2000-10-06,1425.94,5642900000.0
9,2000-10-13,1368.3849500000001,5760600000.0
699,2000-10-20,1357.13,6083900000.0
359,2000-10-27,1376.72505,5911100000.0
920,2000-11-03,1405.13,5925100000.0
639,2000-11-10,1402.2150000000001,4794600000.0
70,2000-11-17,1362.29,5341600000.0
496,2000-11-24,1344.805,3460970000.0
369,2000-12-01,1328.7,4758130000.0
373,2000-12-08,1345.28,5888900000.0
916,2000-12-15,1347.2150000000001,6103300000.0
780,2000-12-22,1300.2549,6473400000.0
775,2000-12-29,1320.87,3950000000.0
245,2001-01-05,1312.4299999999998,6571900000.0
932,2001-01-12,1304.75,6290500000.0
748,2001-01-19,1333.94,5407600000.0
771,2001-01-26,1351.795,6061600000.0
717,2001-02-02,1366.045,5665400000.0
715,2001-02-09,1336.7649999999999,5413600000.0
244,2001-02-16,1314.90005,5675500000.0
125,2001-02-23,1261.29995,4917900000.0
246,2001-03-02,1243.63,6059100000.0
241,2001-03-09,1247.92,5353200000.0
931,2001-03-16,1191.0300000000002,6790360000.0
597,2001-03-23,1130.875,6797250000.0
386,2001-03-30,1159.8049999999998,6276900000.0
646,2001-04-06,1130.75,6701390000.0
778,2001-04-12,1154.9450000000002,4804700000.0
841,2001-04-20,1210.545,6767900000.0
828,2001-04-27,1230.22495,5869200000.0
516,2001-05-04,1252.46505,6010300000.0
189,2001-05-11,1255.395,5050600000.0
122,2001-05-18,1268.75,5821700000.0
31,2001-05-25,1296.17505,5498900000.0
46,2001-06-01,1262.19,4426200000.0
43,2001-06-08,1271.4899999999998,4831000000.0
481,2001-06-15,1233.995,5948650000.0
924,2001-06-22,1223.975,6382620000.0
484,2001-06-29,1220.9650000000001,6570760000.0
285,2001-07-06,1214.26,3742010000.0
57,2001-07-13,1193.5,6209300000.0
696,2001-07-20,1210.5900000000001,6108600000.0
697,2001-07-27,1190.38,5695500000.0
137,2001-08-03,1213.3400000000001,5536800000.0
525,2001-08-10,1191.9499999999998,5013400000.0
506,2001-08-17,1177.42995,4897500000.0
666,2001-08-24,1169.245,5079300000.0
944,2001-08-31,1155.86,4870500000.0
537,2001-09-07,1118.76,5346800000.0
636,2001-09-10,1085.04495,1276600000.0
608,2001-09-21,1018.645,10423890000.0
509,2001-09-28,1003.36995,7978000000.0
623,2001-10-05,1055.44,7026800000.0
488,2001-10-12,1075.96,6555180000.0
362,2001-10-19,1082.1799999999998,6245200000.0
254,2001-10-26,1088.125,6368100000.0
152,2001-11-02,1079.11,6195300000.0
149,2001-11-09,1111.475,6646300000.0
419,2001-11-16,1123.29995,6597000000.0
507,2001-11-23,1141.115,4086600000.0
843,2001-11-30,1144.4450000000002,6560800000.0
261,2001-12-07,1149.6999999999998,7022800000.0
227,2001-12-14,1136.42005,6853900000.0
624,2001-12-21,1137.54995,7283800000.0
299,2001-12-28,1154.63,3024470000.0
606,2002-01-04,1156.3899999999999,5026500000.0
889,2002-01-11,1161.21,6530000000.0
883,2002-01-18,1136.63005,6869200000.0
513,2002-01-25,1128.46505,5688700000.0
210,2002-02-01,1110.145,7942600000.0
804,2002-02-08,1099.99,7695200000.0
284,2002-02-15,1109.70005,6101200000.0
574,2002-02-22,1089.27005,5421400000.0
638,2002-03-01,1110.815,6919100000.0
906,2002-03-08,1151.84505,7614300000.0
334,2002-03-15,1162.02,6571300000.0
376,2002-03-22,1156.70995,6311900000.0
377,2002-03-28,1143.03,4609200000.0
668,2002-04-05,1133.665,5841300000.0
594,2002-04-12,1117.0900000000001,6566300000.0
163,2002-04-19,1116.205,6382900000.0
12,2002-04-26,1100.7400499999999,6835100000.0
635,2002-05-03,1077.44,7043200000.0
910,2002-05-10,1068.94,6304200000.0
631,2002-05-17,1080.245,6454300000.0
340,2002-05-24,1091.115,5404900000.0
805,2002-05-31,1070.12,4642200000.0
263,2002-06-07,1041.615,7033800000.0
948,2002-06-14,1010.335,7188820000.0
669,2002-06-21,1013.24,6652700000.0
676,2002-06-28,979.4,9106190000.0
26,2002-07-05,964.665,5475700000.0
834,2002-07-12,947.25,8038080000.0
161,2002-07-19,884.2950000000001,11375400000.0
445,2002-07-26,814.905,11685440000.0
453,2002-08-02,882.24,8864400000.0
449,2002-08-09,873.695,7371600000.0
888,2002-08-16,905.79,6638400000.0
912,2002-08-23,946.105,6405900000.0
128,2002-08-30,929.575,5672200000.0
197,2002-09-06,893.2850000000001,5247700000.0
927,2002-09-13,900.535,5626200000.0
401,2002-09-20,870.885,7267800000.0
240,2002-09-27,836.99,7860140000.0
302,2002-10-04,823.015,8682100000.0
553,2002-10-11,805.95,9344320000.0
559,2002-10-18,857.525,7944790000.0
480,2002-10-25,888.0,7631070000.0
398,2002-11-01,887.675,7426300000.0
698,2002-11-08,908.64,7587400000.0
438,2002-11-15,891.13,6872600000.0
167,2002-11-22,915.185,8179200000.0
164,2002-11-29,926.96,5111360000.0
641,2002-12-06,925.12,7180600000.0
747,2002-12-13,900.355,6478600000.0
757,2002-12-20,895.77,7138230000.0
56,2002-12-27,888.755,3049910000.0
822,2003-01-03,890.35,4506300000.0
415,2003-01-10,920.605,7494400000.0
541,2003-01-17,917.035,7100600000.0
290,2003-01-24,882.855,6215350000.0
487,2003-01-31,854.53,7579230000.0
139,2003-02-07,845.6700000000001,6868600000.0
407,2003-02-14,824.655,6699600000.0
664,2003-02-21,842.175,4918700000.0
660,2003-02-28,833.355,6748400000.0
897,2003-03-07,831.7850000000001,6465900000.0
615,2003-03-14,815.145,7660900000.0
911,2003-03-21,861.535,8051730000.0
563,2003-03-28,876.94,6406000000.0
612,2003-04-04,864.785,7127600000.0
891,2003-04-11,883.825,6440000000.0
458,2003-04-17,882.535,5609400000.0
81,2003-04-25,903.22,7401000000.0
852,2003-05-02,914.685,7538910000.0
847,2003-05-09,929.665,7333500000.0
556,2003-05-16,938.9749999999999,7212900000.0
933,2003-05-23,928.175,6988300000.0
91,2003-05-30,946.355,6465600000.0
92,2003-06-06,985.6400000000001,8261700000.0
265,2003-06-13,987.665,6927100000.0
956,2003-06-20,1001.97,7542600000.0
955,2003-06-27,984.745,6900800000.0
156,2003-07-03,978.55,5342600000.0
846,2003-07-11,997.03,7291200000.0
849,2003-07-18,997.005,7656100000.0
744,2003-07-25,987.26,7013100000.0
720,2003-08-01,991.725,7228000000.0
714,2003-08-08,973.2950000000001,6637300000.0
276,2003-08-15,983.355,5186470000.0
737,2003-08-22,1000.8399999999999,6355000000.0
130,2003-08-29,996.21,5312100000.0
247,2003-09-05,1017.535,6065200000.0
929,2003-09-12,1020.0600000000001,6868800000.0
926,2003-09-19,1026.94,6910110000.0
595,2003-09-26,1016.19,7139000000.0
535,2003-10-03,1014.8350499999999,7363100000.0
238,2003-10-10,1037.275,6254600000.0
678,2003-10-17,1045.17995,6603200000.0
183,2003-10-24,1033.44495,7342400000.0
871,2003-10-31,1041.0,7692200000.0
591,2003-11-07,1053.6350000000002,7092000000.0
115,2003-11-14,1053.555,6494500000.0
388,2003-11-21,1040.775,6655300000.0
390,2003-11-28,1047.955,4221420000.0
280,2003-12-05,1066.25,6928900000.0
5,2003-12-12,1064.085,6792600000.0
922,2003-12-19,1079.5300499999998,7747600000.0
692,2003-12-26,1092.305,3271130000.0
253,2004-01-02,1107.37,4252100000.0
258,2004-01-09,1120.2,8366700000.0
505,2004-01-16,1127.5099500000001,8036800000.0
795,2004-01-23,1142.565,6710700000.0
936,2004-01-30,1138.88,8552600000.0
705,2004-02-06,1133.6149500000001,7755100000.0
444,2004-02-13,1148.795,7200200000.0
756,2004-02-20,1148.99,5821300000.0
289,2004-02-27,1143.0551,7209000000.0
914,2004-03-05,1153.505,6971600000.0
228,2004-03-12,1132.90495,7680600000.0
231,2004-03-19,1114.185,7418000000.0
406,2004-03-26,1101.2150000000001,7229100000.0
53,2004-04-02,1126.4351,7488500000.0
807,2004-04-08,1142.54495,5470000000.0
351,2004-04-16,1134.2649999999999,7129800000.0
634,2004-04-23,1129.4,7664300000.0
905,2004-04-30,1126.89505,8157900000.0
252,2004-05-07,1113.185,7865600000.0
789,2004-05-14,1089.54495,7896800000.0
945,2004-05-21,1092.64505,6801300000.0
833,2004-05-28,1107.345,6762700000.0
806,2004-06-04,1121.24495,4837400000.0
526,2004-06-10,1132.34005,4839500000.0
530,2004-06-18,1130.56,6491000000.0
374,2004-06-25,1135.355,7158200000.0
339,2004-07-02,1133.63005,6784100000.0
44,2004-07-09,1117.0500000000002,5199300000.0
326,2004-07-16,1110.33495,6635300000.0
583,2004-07-23,1099.91505,7463500000.0
863,2004-07-30,1091.255,7406800000.0
838,2004-08-06,1085.415,6901900000.0
550,2004-08-13,1069.88,6322200000.0
303,2004-08-20,1082.53,6205800000.0
86,2004-08-27,1101.25,5175600000.0
907,2004-09-03,1107.76,5165970000.0
898,2004-09-10,1119.44,5093200000.0
896,2004-09-17,1124.97995,6296800000.0
83,2004-09-24,1119.795,6444200000.0
511,2004-10-01,1116.4650000000001,7393200000.0
514,2004-10-08,1131.11995,7108200000.0
787,2004-10-15,1114.53505,6944700000.0
98,2004-10-22,1106.105,7939100000.0
743,2004-10-29,1110.845,7936800000.0
323,2004-11-05,1149.235,8329500000.0
45,2004-11-12,1173.24495,7238400000.0
47,2004-11-19,1178.8249500000002,7485200000.0
857,2004-11-26,1177.255,4475180000.0
77,2004-12-03,1184.915,8046400000.0
123,2004-12-10,1183.1,7481900000.0
120,2004-12-17,1197.9850000000001,8805200000.0
282,2004-12-23,1203.51,5253400000.0
533,2004-12-31,1211.125,4447600000.0
711,2005-01-07,1199.98,8017700000.0
450,2005-01-14,1185.21,7387000000.0
296,2005-01-21,1181.89995,6431000000.0
293,2005-01-28,1170.625,7983300000.0
313,2005-02-04,1187.415,8126140000.0
894,2005-02-11,1199.96,7328450000.0
701,2005-02-18,1204.8949499999999,7438680000.0
37,2005-02-25,1198.1550000000002,6288460000.0
716,2005-03-04,1211.4450000000002,8325140000.0
774,2005-03-11,1213.63,7770730000.0
750,2005-03-18,1196.6599999999999,8530450000.0
184,2005-03-24,1179.1750000000002,7902500000.0
821,2005-04-01,1176.74495,10449500000.0
827,2005-04-08,1179.8000000000002,9309920000.0
769,2005-04-15,1166.045,10599880000.0
396,2005-04-22,1148.0500000000002,10894860000.0
782,2005-04-29,1151.99495,10450920000.0
607,2005-05-06,1166.665,10157840000.0
357,2005-05-13,1162.52505,9765530000.0
213,2005-05-20,1172.43,9418050000.0
205,2005-05-27,1192.7600499999999,8139890000.0
157,2005-06-03,1198.335,7092090000.0
275,2005-06-10,1199.9699999999998,8602280000.0
298,2005-06-17,1207.03,9383350000.0
566,2005-06-24,1205.52,9707200000.0
367,2005-07-01,1196.1849499999998,8983620000.0
372,2005-07-08,1198.1399999999999,7542540000.0
97,2005-07-15,1222.51,9355920000.0
783,2005-07-22,1228.84505,9583550000.0
777,2005-07-29,1236.65,9388840000.0
269,2005-08-05,1235.7399999999998,9671470000.0
523,2005-08-12,1232.6799500000002,9524840000.0
518,2005-08-19,1226.0850500000001,8609400000.0
799,2005-08-26,1216.595,8342950000.0
52,2005-09-02,1214.17995,9751450000.0
49,2005-09-09,1230.575,7947730000.0
745,2005-09-16,1233.725,11238970000.0
679,2005-09-23,1221.63,11341680000.0
18,2005-09-30,1220.33995,10379110000.0
151,2005-10-07,1207.63,11903800000.0
842,2005-10-14,1182.3600000000001,11526400000.0
560,2005-10-21,1183.925,12043340000.0
555,2005-10-28,1191.45,11752780000.0
825,2005-11-04,1211.555,12440550000.0
604,2005-11-11,1225.375,10318690000.0
133,2005-11-18,1237.995,11132060000.0
741,2005-11-25,1258.77,7119110000.0
147,2005-12-02,1258.91495,11400340000.0
153,2005-12-09,1261.9,10605000000.0
840,2005-12-16,1265.6599999999999,11176870000.0
251,2005-12-23,1263.8600000000001,9444980000.0
411,2005-12-30,1259.21,5788870000.0
515,2006-01-06,1265.915,9949800000.0
786,2006-01-13,1288.8400000000001,11605560000.0
106,2006-01-20,1274.355,9703000000.0
102,2006-01-27,1272.9,12962250000.0
319,2006-02-03,1274.47995,12427960000.0
739,2006-02-10,1264.08505,11687560000.0
738,2006-02-17,1273.905,10985360000.0
917,2006-02-24,1287.75,8403920000.0
489,2006-03-03,1288.1149500000001,11302040000.0
190,2006-03-10,1278.325,11254670000.0
32,2006-03-17,1296.0149999999999,11370400000.0
257,2006-03-24,1303.34505,10471020000.0
462,2006-03-31,1300.995,10853090000.0
349,2006-04-07,1304.125,11425910000.0
915,2006-04-13,1291.85,7961240000.0
753,2006-04-21,1299.45,11742950000.0
749,2006-04-28,1305.80495,12178330000.0
428,2006-05-05,1314.995,11961950000.0
759,2006-05-12,1308.54,11676630000.0
693,2006-05-19,1277.08,13241860000.0
51,2006-05-26,1262.94,12564040000.0
148,2006-06-02,1275.03005,9524050000.0
165,2006-06-09,1261.6700500000002,13413080000.0
420,2006-06-16,1238.9650000000001,13689640000.0
454,2006-06-23,1247.565,11276830000.0
182,2006-06-30,1256.945,11838010000.0
770,2006-07-07,1271.755,7276850000.0
84,2006-07-14,1251.25505,11428770000.0
248,2006-07-21,1243.5500499999998,12379810000.0
243,2006-07-28,1260.335,12801490000.0
268,2006-08-04,1279.315,12859150000.0
952,2006-08-11,1272.52,11465410000.0
876,2006-08-18,1284.4850000000001,11498940000.0
796,2006-08-25,1296.15495,9159550000.0
472,2006-09-01,1303.0,9764390000.0
477,2006-09-08,1303.4,8903090000.0
558,2006-09-15,1307.79005,13444480000.0
41,2006-09-22,1319.73495,12049320000.0
39,2006-09-29,1325.9299999999998,12804030000.0
387,2006-10-06,1340.445,13197290000.0
648,2006-10-13,1355.09995,11829580000.0
810,2006-10-20,1364.87,12630620000.0
809,2006-10-27,1376.69495,13562660000.0
588,2006-11-03,1371.4650000000001,13460540000.0
332,2006-11-10,1376.595,13287010000.0
949,2006-11-17,1391.28,13806780000.0
50,2006-11-24,1402.87,8214910000.0
28,2006-12-01,1392.065,14949140000.0
33,2006-12-08,1407.47,13430910000.0
309,2006-12-15,1418.19,13539610000.0
620,2006-12-22,1421.04505,11642830000.0
617,2006-12-29,1419.085,6164450000.0
78,2007-01-05,1417.585,9353020000.0
869,2007-01-12,1417.6,14110730000.0
874,2007-01-19,1429.74,10889710000.0
589,2007-01-26,1428.8249500000002,13919320000.0
549,2007-02-02,1433.895,13897760000.0
552,2007-02-09,1443.21495,13434950000.0
146,2007-02-16,1444.70495,12637490000.0
136,2007-02-23,1454.96495,9475560000.0
360,2007-03-02,1418.9099999999999,17999820000.0
176,2007-03-09,1392.06,15617930000.0
82,2007-03-16,1386.6599999999999,16123460000.0
892,2007-03-23,1412.92,14506880000.0
820,2007-03-30,1423.275,14186810000.0
798,2007-04-05,1430.625,10771190000.0
405,2007-04-13,1443.51,13270300000.0
548,2007-04-20,1468.79,15005590000.0
464,2007-04-27,1485.88,14891970000.0
858,2007-05-04,1493.52,15453470000.0
577,2007-05-11,1502.6100000000001,14028380000.0
587,2007-05-18,1510.545,14590190000.0
408,2007-05-25,1518.8051,15091900000.0
957,2007-06-01,1525.3101,11814550000.0
192,2007-06-08,1513.97,15174500000.0
110,2007-06-15,1515.68,14879070000.0
379,2007-06-22,1519.02995,16086160000.0
371,2007-06-29,1500.8550500000001,16256050000.0
433,2007-07-06,1518.5300000000002,9274250000.0
25,2007-07-13,1530.6,15333250000.0
10,2007-07-20,1542.5500000000002,16317700000.0
8,2007-07-27,1503.0900000000001,20758930000.0
813,2007-08-03,1460.55,22551040000.0
119,2007-08-10,1465.64,26711530000.0
124,2007-08-17,1418.445,21881180000.0
132,2007-08-24,1454.97,15268400000.0
538,2007-08-31,1456.74,13622910000.0
141,2007-09-07,1472.73495,11408870000.0
836,2007-09-14,1464.435,14255590000.0
551,2007-09-21,1505.27995,16791240000.0
547,2007-09-28,1520.435,15354000000.0
422,2007-10-05,1544.58,15058680000.0
96,2007-10-12,1561.405,14717400000.0
100,2007-10-19,1532.5,17376100000.0
958,2007-10-26,1512.54505,18580330000.0
616,2007-11-02,1522.645,18817530000.0
621,2007-11-09,1484.6399999999999,22078420000.0
901,2007-11-16,1465.335,20475180000.0
211,2007-11-23,1436.17,14683750000.0
476,2007-11-30,1447.5199499999999,20482140000.0
356,2007-12-07,1485.645,17076810000.0
475,2007-12-14,1495.67495,18510280000.0
768,2007-12-21,1460.525,18729500000.0
765,2007-12-28,1485.275,8064200000.0
193,2008-01-04,1443.5099500000001,13489030000.0
459,2008-01-11,1404.49,23944010000.0
456,2008-01-18,1365.2,25032320000.0
776,2008-01-25,1319.30505,20403920000.0
71,2008-02-01,1359.1399999999999,22697710000.0
642,2008-02-08,1356.065,20177290000.0
385,2008-02-15,1344.77495,18722260000.0
234,2008-02-22,1347.4899500000001,14753390000.0
236,2008-02-29,1356.88,20232420000.0
862,2008-03-07,1313.31,22041330000.0
172,2008-03-14,1302.96,24011740000.0
681,2008-03-20,1299.245,22522410000.0
434,2008-03-28,1336.3150500000002,20424700000.0
202,2008-04-04,1346.86005,20877750000.0
887,2008-04-11,1358.975,18316890000.0
479,2008-04-18,1360.125,19342880000.0
609,2008-04-25,1384.475,19698890000.0
677,2008-05-02,1402.8949499999999,20333020000.0
435,2008-05-09,1402.83995,18756220000.0
703,2008-05-16,1406.0099500000001,19047660000.0
865,2008-05-23,1406.98,19528620000.0
169,2008-05-30,1389.6949,15256170000.0
730,2008-06-06,1381.975,21571790000.0
469,2008-06-13,1350.96,22634280000.0
317,2008-06-20,1340.525,22219040000.0
315,2008-06-27,1303.815,25156600000.0
142,2008-07-03,1272.0900000000001,19402300000.0
414,2008-07-11,1251.355,29063160000.0
409,2008-07-18,1231.375,32555620000.0
674,2008-07-25,1270.0,28317240000.0
447,2008-08-01,1259.65005,25359450000.0
442,2008-08-08,1272.65,20941200000.0
60,2008-08-15,1294.005,22672020000.0
867,2008-08-22,1280.69,20317740000.0
350,2008-08-29,1281.94505,17650180000.0
158,2008-09-05,1260.135,20070120000.0
426,2008-09-12,1242.98,34417920000.0
429,2008-09-19,1199.31,46641070000.0
570,2008-09-26,1217.58,26635470000.0
899,2008-10-03,1153.60495,31026630000.0
732,2008-10-10,968.6800499999999,42016790000.0
733,2008-10-17,955.07005,36533970000.0
40,2008-10-24,919.145,30185400000.0
322,2008-10-31,914.825,32302980000.0
267,2008-11-07,953.62,26484080000.0
953,2008-11-14,885.32,29064670000.0
937,2008-11-21,811.655,36745200000.0
800,2008-11-28,848.725,23366260000.0
706,2008-12-05,852.1500000000001,30469750000.0
395,2008-12-12,884.96,29662270000.0
55,2008-12-19,888.2850000000001,29279860000.0
229,2008-12-26,872.23,12348420000.0
495,2009-01-02,895.9000000000001,15172440000.0
492,2009-01-09,916.0799999999999,25219520000.0
233,2009-01-16,853.72,30293780000.0
75,2009-01-23,826.97,24519050000.0
761,2009-01-30,849.765,28010020000.0
27,2009-02-06,841.81,31088160000.0
311,2009-02-13,841.535,30044110000.0
817,2009-02-20,786.4300000000001,25606060000.0
460,2009-02-27,757.3199999999999,37753880000.0
531,2009-03-06,698.1800000000001,37964220000.0
935,2009-03-13,715.585,37297180000.0
659,2009-03-20,776.585,39816380000.0
655,2009-03-27,802.645,34764100000.0
803,2009-04-03,812.71,31434350000.0
797,2009-04-09,835.72,24904750000.0
637,2009-04-17,855.605,34196510000.0
380,2009-04-24,849.315,35415850000.0
590,2009-05-01,867.9100000000001,30217790000.0
